Problem:    f2_1
    81 Sequencing[A,2,B,1,U3]
                               -2037         -3000               
    82 Sequencing[A,2,B,1,U4]
                                 -37         -3000               
    83 Sequencing[A,2,B,2,U1]
                               -1028         -3000               
    84 Sequencing[A,2,B,2,U2]
                                 -28         -3000               
    85 Sequencing[A,2,B,2,U3]
                               -1028         -3000               
    86 Sequencing[A,2,B,2,U4]
                                 -28         -3000               
    87 Sequencing[A,2,B,3,U1]
                               -1010         -3000               
    88 Sequencing[A,2,B,3,U2]
                                 -10         -3000               
    89 Sequencing[A,2,B,3,U3]
                               -1010         -3000               
    90 Sequencing[A,2,B,3,U4]
                                 -10         -3000               
    91 Sequencing[A,2,B,4,U1]
                               -1006         -3000               
    92 Sequencing[A,2,B,4,U2]
                                  -6         -3000               
    93 Sequencing[A,2,B,4,U3]
                               -1006         -3000               
    94 Sequencing[A,2,B,4,U4]
                                  -6         -3000               
    95 Sequencing[A,2,C,1,U1]
                                 -37         -3000               
    96 Sequencing[A,2,C,1,U2]
                               -1037         -3000               
    97 Sequencing[A,2,C,1,U3]
                               -1037         -3000               
    98 Sequencing[A,2,C,1,U4]
                                 -37         -3000               
    99 Sequencing[A,2,C,2,U1]
                                 -28         -3000               
   100 Sequencing[A,2,C,2,U2]
                                 -28         -3000               
   101 Sequencing[A,2,C,2,U3]
                               -2028         -3000               
   102 Sequencing[A,2,C,2,U4]
                                 -28         -3000               
   103 Sequencing[A,2,C,3,U1]
                                 -20         -3000               
   104 Sequencing[A,2,C,3,U2]
                               -1020         -3000               
   105 Sequencing[A,2,C,3,U3]
                               -1020         -3000               
   106 Sequencing[A,2,C,3,U4]
                                 -20         -3000               
   107 Sequencing[A,2,D,1,U1]
                                 -24         -3000               
   108 Sequencing[A,2,D,1,U2]
                                 -24         -3000               
   109 Sequencing[A,2,D,1,U3]
                               -1024         -3000               
   110 Sequencing[A,2,D,1,U4]
                               -1024         -3000               
   111 Sequencing[A,2,D,2,U1]
                                 -19         -3000               
   112 Sequencing[A,2,D,2,U2]
                                 -19         -3000               
   113 Sequencing[A,2,D,2,U3]
                               -1019         -3000               
   114 Sequencing[A,2,D,2,U4]
                               -1019         -3000               
   115 Sequencing[A,2,D,3,U1]
                                  -1         -3000               
   116 Sequencing[A,2,D,3,U2]
                                  -1         -3000               
   117 Sequencing[A,2,D,3,U3]
                               -1001         -3000               
   118 Sequencing[A,2,D,3,U4]
                               -1001         -3000               
   119 Sequencing[A,3,A,1,U1]
                                 -43         -3000               
   120 Sequencing[A,3,A,1,U2]
                               -1043         -3000               
   121 Sequencing[A,3,A,1,U3]
                                 -43         -3000               
   122 Sequencing[A,3,A,1,U4]
                               -1043         -3000               
   123 Sequencing[A,3,A,2,U1]
                                 -14         -3000               
   124 Sequencing[A,3,A,2,U2]
                               -1014         -3000               
   125 Sequencing[A,3,A,2,U3]
                               -1014         -3000               
   126 Sequencing[A,3,A,2,U4]
                                 -14         -3000               
   127 Sequencing[A,3,B,1,U1]
                                 -43         -3000               
   128 Sequencing[A,3,B,1,U2]
                               -1043         -3000               
   129 Sequencing[A,3,B,1,U3]
                               -1043         -3000               
   130 Sequencing[A,3,B,1,U4]
                                 -43         -3000               
   131 Sequencing[A,3,B,2,U1]
                               -1034         -3000               
   132 Sequencing[A,3,B,2,U2]
                               -1034         -3000               
   133 Sequencing[A,3,B,2,U3]
                                 -34         -3000               
   134 Sequencing[A,3,B,2,U4]
                                 -34         -3000               
   135 Sequencing[A,3,B,3,U1]
                               -1016         -3000               
   136 Sequencing[A,3,B,3,U2]
                               -1016         -3000               
   137 Sequencing[A,3,B,3,U3]
                                 -16         -3000               
   138 Sequencing[A,3,B,3,U4]
                                 -16         -3000               
   139 Sequencing[A,3,B,4,U1]
                               -1012         -3000               
   140 Sequencing[A,3,B,4,U2]
                               -1012         -3000               
   141 Sequencing[A,3,B,4,U3]
                                 -12         -3000               
   142 Sequencing[A,3,B,4,U4]
                                 -12         -3000               
   143 Sequencing[A,3,C,1,U1]
                                 -43         -3000               
   144 Sequencing[A,3,C,1,U2]
                               -2043         -3000               
   145 Sequencing[A,3,C,1,U3]
                                 -43         -3000               
   146 Sequencing[A,3,C,1,U4]
                                 -43         -3000               
   147 Sequencing[A,3,C,2,U1]
                                 -34         -3000               
   148 Sequencing[A,3,C,2,U2]
                               -1034         -3000               
   149 Sequencing[A,3,C,2,U3]
                               -1034         -3000               
   150 Sequencing[A,3,C,2,U4]
                                 -34         -3000               
   151 Sequencing[A,3,C,3,U1]
                                 -26         -3000               
   152 Sequencing[A,3,C,3,U2]
                               -2026         -3000               
   153 Sequencing[A,3,C,3,U3]
                                 -26         -3000               
   154 Sequencing[A,3,C,3,U4]
                                 -26         -3000               
   155 Sequencing[A,3,D,1,U1]
                                 -30         -3000               
   156 Sequencing[A,3,D,1,U2]
                               -1030         -3000               
   157 Sequencing[A,3,D,1,U3]
                                 -30         -3000               
   158 Sequencing[A,3,D,1,U4]
                               -1030         -3000               
   159 Sequencing[A,3,D,2,U1]
                                 -25         -3000               
   160 Sequencing[A,3,D,2,U2]
                               -1025         -3000               
   161 Sequencing[A,3,D,2,U3]
                                 -25         -3000               
   162 Sequencing[A,3,D,2,U4]
                               -1025         -3000               
   163 Sequencing[A,3,D,3,U1]
                               -1007         -3000               
   164 Sequencing[A,3,D,3,U2]
                               -2007         -3000               
   165 Sequencing[A,3,D,3,U3]
                               -1007         -3000               
   166 Sequencing[A,3,D,3,U4]
                               -2007         -3000               
   167 Sequencing[B,1,A,1,U1]
                                  -9         -3000               
   168 Sequencing[B,1,A,1,U2]
                                  -9         -3000               
   169 Sequencing[B,1,A,1,U3]
                               -1009         -3000               
   170 Sequencing[B,1,A,1,U4]
                               -1009         -3000               
   171 Sequencing[B,1,A,2,U1]
                                -980         -3000               
   172 Sequencing[B,1,A,2,U2]
                                -980         -3000               
   173 Sequencing[B,1,A,2,U3]
                               -2980         -3000               
   174 Sequencing[B,1,A,2,U4]
                                -980         -3000               
   175 Sequencing[B,1,A,3,U1]
                                  28         -3000               
   176 Sequencing[B,1,A,3,U2]
                                -972         -3000               
   177 Sequencing[B,1,A,3,U3]
                                -972         -3000               
   178 Sequencing[B,1,A,3,U4]
                                  28         -3000               
   179 Sequencing[B,1,B,2,U1]
                               -1000         -3000               
   180 Sequencing[B,1,B,2,U2]
                                   0         -3000               
   181 Sequencing[B,1,B,2,U3]
                               -1000         -3000               
   182 Sequencing[B,1,B,2,U4]
                                   0         -3000               
   183 Sequencing[B,1,B,3,U1]
                                -982         -3000               
   184 Sequencing[B,1,B,3,U2]
                                  18         -3000               
   185 Sequencing[B,1,B,3,U3]
                                -982         -3000               
   186 Sequencing[B,1,B,3,U4]
                                  18         -3000               
   187 Sequencing[B,1,B,4,U1]
                                -978         -3000               
   188 Sequencing[B,1,B,4,U2]
                                  22         -3000               
   189 Sequencing[B,1,B,4,U3]
                                -978         -3000               
   190 Sequencing[B,1,B,4,U4]
                                  22         -3000               
   191 Sequencing[B,1,C,1,U1]
                                  -9         -3000               
   192 Sequencing[B,1,C,1,U2]
                               -1009         -3000               
   193 Sequencing[B,1,C,1,U3]
                               -1009         -3000               
   194 Sequencing[B,1,C,1,U4]
                                  -9         -3000               
   195 Sequencing[B,1,C,2,U1]
                               -1000         -3000               
   196 Sequencing[B,1,C,2,U2]
                               -1000         -3000               
   197 Sequencing[B,1,C,2,U3]
                               -3000         -3000               
   198 Sequencing[B,1,C,2,U4]
                               -1000         -3000               
   199 Sequencing[B,1,C,3,U1]
                                   8         -3000               
   200 Sequencing[B,1,C,3,U2]
                                -992         -3000               
   201 Sequencing[B,1,C,3,U3]
                                -992         -3000               
   202 Sequencing[B,1,C,3,U4]
                                   8         -3000               
   203 Sequencing[B,1,D,1,U1]
                                   4         -3000               
   204 Sequencing[B,1,D,1,U2]
                                   4         -3000               
   205 Sequencing[B,1,D,1,U3]
                                -996         -3000               
   206 Sequencing[B,1,D,1,U4]
                                -996         -3000               
   207 Sequencing[B,1,D,2,U1]
                                   9         -3000               
   208 Sequencing[B,1,D,2,U2]
                                   9         -3000               
   209 Sequencing[B,1,D,2,U3]
                                -991         -3000               
   210 Sequencing[B,1,D,2,U4]
                                -991         -3000               
   211 Sequencing[B,1,D,3,U1]
                                  27         -3000               
   212 Sequencing[B,1,D,3,U2]
                                  27         -3000               
   213 Sequencing[B,1,D,3,U3]
                                -973         -3000               
   214 Sequencing[B,1,D,3,U4]
                                -973         -3000               
   215 Sequencing[B,2,A,1,U1]
                               -1027         -3000               
   216 Sequencing[B,2,A,1,U2]
                                 -27         -3000               
   217 Sequencing[B,2,A,1,U3]
                                 -27         -3000               
   218 Sequencing[B,2,A,1,U4]
                               -1027         -3000               
   219 Sequencing[B,2,A,2,U1]
                                -998         -3000               
   220 Sequencing[B,2,A,2,U2]
                                   2         -3000               
   221 Sequencing[B,2,A,2,U3]
                                -998         -3000               
   222 Sequencing[B,2,A,2,U4]
                                   2         -3000               
   223 Sequencing[B,2,A,3,U1]
                                -990         -3000               
   224 Sequencing[B,2,A,3,U2]
                                -990         -3000               
   225 Sequencing[B,2,A,3,U3]
                                  10         -3000               
   226 Sequencing[B,2,A,3,U4]
                                  10         -3000               
   227 Sequencing[B,2,B,1,U1]
                               -1027         -3000               
   228 Sequencing[B,2,B,1,U2]
                                 -27         -3000               
   229 Sequencing[B,2,B,1,U3]
                               -1027         -3000               
   230 Sequencing[B,2,B,1,U4]
                                 -27         -3000               
   231 Sequencing[B,2,B,3,U1]
                               -3000         -3000               
   232 Sequencing[B,2,B,3,U2]
                               -1000         -3000               
   233 Sequencing[B,2,B,3,U3]
                               -1000         -3000               
   234 Sequencing[B,2,B,3,U4]
                               -1000         -3000               
   235 Sequencing[B,2,B,4,U1]
                               -2996         -3000               
   236 Sequencing[B,2,B,4,U2]
                                -996         -3000               
   237 Sequencing[B,2,B,4,U3]
                                -996         -3000               
   238 Sequencing[B,2,B,4,U4]
                                -996         -3000               
   239 Sequencing[B,2,C,1,U1]
                               -1027         -3000               
   240 Sequencing[B,2,C,1,U2]
                               -1027         -3000               
   241 Sequencing[B,2,C,1,U3]
                                 -27         -3000               
   242 Sequencing[B,2,C,1,U4]
                                 -27         -3000               
   243 Sequencing[B,2,C,2,U1]
                               -1018         -3000               
   244 Sequencing[B,2,C,2,U2]
                                 -18         -3000               
   245 Sequencing[B,2,C,2,U3]
                               -1018         -3000               
   246 Sequencing[B,2,C,2,U4]
                                 -18         -3000               
   247 Sequencing[B,2,C,3,U1]
                               -1010         -3000               
   248 Sequencing[B,2,C,3,U2]
                               -1010         -3000               
   249 Sequencing[B,2,C,3,U3]
                                 -10         -3000               
   250 Sequencing[B,2,C,3,U4]
                                 -10         -3000               
   251 Sequencing[B,2,D,1,U1]
                               -1014         -3000               
   252 Sequencing[B,2,D,1,U2]
                                 -14         -3000               
   253 Sequencing[B,2,D,1,U3]
                                 -14         -3000               
   254 Sequencing[B,2,D,1,U4]
                               -1014         -3000               
   255 Sequencing[B,2,D,2,U1]
                               -1009         -3000               
   256 Sequencing[B,2,D,2,U2]
                                  -9         -3000               
   257 Sequencing[B,2,D,2,U3]
                                  -9         -3000               
   258 Sequencing[B,2,D,2,U4]
                               -1009         -3000               
   259 Sequencing[B,2,D,3,U1]
                                -991         -3000               
   260 Sequencing[B,2,D,3,U2]
                                   9         -3000               
   261 Sequencing[B,2,D,3,U3]
                                   9         -3000               
   262 Sequencing[B,2,D,3,U4]
                                -991         -3000               
   263 Sequencing[B,3,A,1,U1]
                               -1031         -3000               
   264 Sequencing[B,3,A,1,U2]
                                 -31         -3000               
   265 Sequencing[B,3,A,1,U3]
                                 -31         -3000               
   266 Sequencing[B,3,A,1,U4]
                               -1031         -3000               
   267 Sequencing[B,3,A,2,U1]
                               -1002         -3000               
   268 Sequencing[B,3,A,2,U2]
                                  -2         -3000               
   269 Sequencing[B,3,A,2,U3]
                               -1002         -3000               
   270 Sequencing[B,3,A,2,U4]
                                  -2         -3000               
   271 Sequencing[B,3,A,3,U1]
                                -994         -3000               
   272 Sequencing[B,3,A,3,U2]
                                -994         -3000               
   273 Sequencing[B,3,A,3,U3]
                                   6         -3000               
   274 Sequencing[B,3,A,3,U4]
                                   6         -3000               
   275 Sequencing[B,3,B,1,U1]
                               -1031         -3000               
   276 Sequencing[B,3,B,1,U2]
                                 -31         -3000               
   277 Sequencing[B,3,B,1,U3]
                               -1031         -3000               
   278 Sequencing[B,3,B,1,U4]
                                 -31         -3000               
   279 Sequencing[B,3,B,2,U1]
                               -2022         -3000               
   280 Sequencing[B,3,B,2,U2]
                                 -22         -3000               
   281 Sequencing[B,3,B,2,U3]
                                 -22         -3000               
   282 Sequencing[B,3,B,2,U4]
                                 -22         -3000               
   283 Sequencing[B,3,B,4,U1]
                               -3000         -3000               
   284 Sequencing[B,3,B,4,U2]
                               -1000         -3000               
   285 Sequencing[B,3,B,4,U3]
                               -1000         -3000               
   286 Sequencing[B,3,B,4,U4]
                               -1000         -3000               
   287 Sequencing[B,3,C,1,U1]
                               -1031         -3000               
   288 Sequencing[B,3,C,1,U2]
                               -1031         -3000               
   289 Sequencing[B,3,C,1,U3]
                                 -31         -3000               
   290 Sequencing[B,3,C,1,U4]
                                 -31         -3000               
   291 Sequencing[B,3,C,2,U1]
                               -1022         -3000               
   292 Sequencing[B,3,C,2,U2]
                                 -22         -3000               
   293 Sequencing[B,3,C,2,U3]
                               -1022         -3000               
   294 Sequencing[B,3,C,2,U4]
                                 -22         -3000               
   295 Sequencing[B,3,C,3,U1]
                               -1014         -3000               
   296 Sequencing[B,3,C,3,U2]
                               -1014         -3000               
   297 Sequencing[B,3,C,3,U3]
                                 -14         -3000               
   298 Sequencing[B,3,C,3,U4]
                                 -14         -3000               
   299 Sequencing[B,3,D,1,U1]
                               -1018         -3000               
   300 Sequencing[B,3,D,1,U2]
                                 -18         -3000               
   301 Sequencing[B,3,D,1,U3]
                                 -18         -3000               
   302 Sequencing[B,3,D,1,U4]
                               -1018         -3000               
   303 Sequencing[B,3,D,2,U1]
                               -1013         -3000               
   304 Sequencing[B,3,D,2,U2]
                                 -13         -3000               
   305 Sequencing[B,3,D,2,U3]
                                 -13         -3000               
   306 Sequencing[B,3,D,2,U4]
                               -1013         -3000               
   307 Sequencing[B,3,D,3,U1]
                                -995         -3000               
   308 Sequencing[B,3,D,3,U2]
                                   5         -3000               
   309 Sequencing[B,3,D,3,U3]
                                   5         -3000               
   310 Sequencing[B,3,D,3,U4]
                                -995         -3000               
   311 Sequencing[B,4,A,1,U1]
                               -1043         -3000               
   312 Sequencing[B,4,A,1,U2]
                                 -43         -3000               
   313 Sequencing[B,4,A,1,U3]
                                 -43         -3000               
   314 Sequencing[B,4,A,1,U4]
                               -1043         -3000               
   315 Sequencing[B,4,A,2,U1]
                               -1014         -3000               
   316 Sequencing[B,4,A,2,U2]
                                 -14         -3000               
   317 Sequencing[B,4,A,2,U3]
                               -1014         -3000               
   318 Sequencing[B,4,A,2,U4]
                                 -14         -3000               
   319 Sequencing[B,4,A,3,U1]
                               -1006         -3000               
   320 Sequencing[B,4,A,3,U2]
                               -1006         -3000               
   321 Sequencing[B,4,A,3,U3]
                                  -6         -3000               
   322 Sequencing[B,4,A,3,U4]
                                  -6         -3000               
   323 Sequencing[B,4,B,1,U1]
                               -1043         -3000               
   324 Sequencing[B,4,B,1,U2]
                                 -43         -3000               
   325 Sequencing[B,4,B,1,U3]
                               -1043         -3000               
   326 Sequencing[B,4,B,1,U4]
                                 -43         -3000               
   327 Sequencing[B,4,B,2,U1]
                               -2034         -3000               
   328 Sequencing[B,4,B,2,U2]
                                 -34         -3000               
   329 Sequencing[B,4,B,2,U3]
                                 -34         -3000               
   330 Sequencing[B,4,B,2,U4]
                                 -34         -3000               
   331 Sequencing[B,4,B,3,U1]
                               -2016         -3000               
   332 Sequencing[B,4,B,3,U2]
                                 -16         -3000               
   333 Sequencing[B,4,B,3,U3]
                                 -16         -3000               
   334 Sequencing[B,4,B,3,U4]
                                 -16         -3000               
   335 Sequencing[B,4,C,1,U1]
                               -1043         -3000               
   336 Sequencing[B,4,C,1,U2]
                               -1043         -3000               
   337 Sequencing[B,4,C,1,U3]
                                 -43         -3000               
   338 Sequencing[B,4,C,1,U4]
                                 -43         -3000               
   339 Sequencing[B,4,C,2,U1]
                               -1034         -3000               
   340 Sequencing[B,4,C,2,U2]
                                 -34         -3000               
   341 Sequencing[B,4,C,2,U3]
                               -1034         -3000               
   342 Sequencing[B,4,C,2,U4]
                                 -34         -3000               
   343 Sequencing[B,4,C,3,U1]
                               -1026         -3000               
   344 Sequencing[B,4,C,3,U2]
                               -1026         -3000               
   345 Sequencing[B,4,C,3,U3]
                                 -26         -3000               
   346 Sequencing[B,4,C,3,U4]
                                 -26         -3000               
   347 Sequencing[B,4,D,1,U1]
                               -1030         -3000               
   348 Sequencing[B,4,D,1,U2]
                                 -30         -3000               
   349 Sequencing[B,4,D,1,U3]
                                 -30         -3000               
   350 Sequencing[B,4,D,1,U4]
                               -1030         -3000               
   351 Sequencing[B,4,D,2,U1]
                               -1025         -3000               
   352 Sequencing[B,4,D,2,U2]
                                 -25         -3000               
   353 Sequencing[B,4,D,2,U3]
                                 -25         -3000               
   354 Sequencing[B,4,D,2,U4]
                               -1025         -3000               
   355 Sequencing[B,4,D,3,U1]
                               -1007         -3000               
   356 Sequencing[B,4,D,3,U2]
                                  -7         -3000               
   357 Sequencing[B,4,D,3,U3]
                                  -7         -3000               
   358 Sequencing[B,4,D,3,U4]
                               -1007         -3000               
   359 Sequencing[C,1,A,1,U1]
                                  -9         -3000               
   360 Sequencing[C,1,A,1,U2]
                               -1009         -3000               
   361 Sequencing[C,1,A,1,U3]
                                  -9         -3000               
   362 Sequencing[C,1,A,1,U4]
                               -1009         -3000               
   363 Sequencing[C,1,A,2,U1]
                                  20         -3000               
   364 Sequencing[C,1,A,2,U2]
                                -980         -3000               
   365 Sequencing[C,1,A,2,U3]
                                -980         -3000               
   366 Sequencing[C,1,A,2,U4]
                                  20         -3000               
   367 Sequencing[C,1,A,3,U1]
                                -972         -3000               
   368 Sequencing[C,1,A,3,U2]
                               -2972         -3000               
   369 Sequencing[C,1,A,3,U3]
                                -972         -3000               
   370 Sequencing[C,1,A,3,U4]
                                -972         -3000               
   371 Sequencing[C,1,B,1,U1]
                                  -9         -3000               
   372 Sequencing[C,1,B,1,U2]
                               -1009         -3000               
   373 Sequencing[C,1,B,1,U3]
                               -1009         -3000               
   374 Sequencing[C,1,B,1,U4]
                                  -9         -3000               
   375 Sequencing[C,1,B,2,U1]
                               -1000         -3000               
   376 Sequencing[C,1,B,2,U2]
                               -1000         -3000               
   377 Sequencing[C,1,B,2,U3]
                                   0         -3000               
   378 Sequencing[C,1,B,2,U4]
                                   0         -3000               
   379 Sequencing[C,1,B,3,U1]
                                -982         -3000               
   380 Sequencing[C,1,B,3,U2]
                                -982         -3000               
   381 Sequencing[C,1,B,3,U3]
                                  18         -3000               
   382 Sequencing[C,1,B,3,U4]
                                  18         -3000               
   383 Sequencing[C,1,B,4,U1]
                                -978         -3000               
   384 Sequencing[C,1,B,4,U2]
                                -978         -3000               
   385 Sequencing[C,1,B,4,U3]
                                  22         -3000               
   386 Sequencing[C,1,B,4,U4]
                                  22         -3000               
   387 Sequencing[C,1,C,2,U1]
                                   0         -3000               
   388 Sequencing[C,1,C,2,U2]
                               -1000         -3000               
   389 Sequencing[C,1,C,2,U3]
                               -1000         -3000               
   390 Sequencing[C,1,C,2,U4]
                                   0         -3000               
   391 Sequencing[C,1,C,3,U1]
                                -992         -3000               
   392 Sequencing[C,1,C,3,U2]
                               -2992         -3000               
   393 Sequencing[C,1,C,3,U3]
                                -992         -3000               
   394 Sequencing[C,1,C,3,U4]
                                -992         -3000               
   395 Sequencing[C,1,D,1,U1]
                                   4         -3000               
   396 Sequencing[C,1,D,1,U2]
                                -996         -3000               
   397 Sequencing[C,1,D,1,U3]
                                   4         -3000               
   398 Sequencing[C,1,D,1,U4]
                                -996         -3000               
   399 Sequencing[C,1,D,2,U1]
                                   9         -3000               
   400 Sequencing[C,1,D,2,U2]
                                -991         -3000               
   401 Sequencing[C,1,D,2,U3]
                                   9         -3000               
   402 Sequencing[C,1,D,2,U4]
                                -991         -3000               
   403 Sequencing[C,1,D,3,U1]
                                  27         -3000               
   404 Sequencing[C,1,D,3,U2]
                                -973         -3000               
   405 Sequencing[C,1,D,3,U3]
                                  27         -3000               
   406 Sequencing[C,1,D,3,U4]
                                -973         -3000               
   407 Sequencing[C,2,A,1,U1]
                                 -17         -3000               
   408 Sequencing[C,2,A,1,U2]
                                 -17         -3000               
   409 Sequencing[C,2,A,1,U3]
                               -1017         -3000               
   410 Sequencing[C,2,A,1,U4]
                               -1017         -3000               
   411 Sequencing[C,2,A,2,U1]
                                -988         -3000               
   412 Sequencing[C,2,A,2,U2]
                                -988         -3000               
   413 Sequencing[C,2,A,2,U3]
                               -2988         -3000               
   414 Sequencing[C,2,A,2,U4]
                                -988         -3000               
   415 Sequencing[C,2,A,3,U1]
                                  20         -3000               
   416 Sequencing[C,2,A,3,U2]
                                -980         -3000               
   417 Sequencing[C,2,A,3,U3]
                                -980         -3000               
   418 Sequencing[C,2,A,3,U4]
                                  20         -3000               
   419 Sequencing[C,2,B,1,U1]
                                 -17         -3000               
   420 Sequencing[C,2,B,1,U2]
                                 -17         -3000               
   421 Sequencing[C,2,B,1,U3]
                               -2017         -3000               
   422 Sequencing[C,2,B,1,U4]
                                 -17         -3000               
   423 Sequencing[C,2,B,2,U1]
                               -1008         -3000               
   424 Sequencing[C,2,B,2,U2]
                                  -8         -3000               
   425 Sequencing[C,2,B,2,U3]
                               -1008         -3000               
   426 Sequencing[C,2,B,2,U4]
                                  -8         -3000               
   427 Sequencing[C,2,B,3,U1]
                                -990         -3000               
   428 Sequencing[C,2,B,3,U2]
                                  10         -3000               
   429 Sequencing[C,2,B,3,U3]
                                -990         -3000               
   430 Sequencing[C,2,B,3,U4]
                                  10         -3000               
   431 Sequencing[C,2,B,4,U1]
                                -986         -3000               
   432 Sequencing[C,2,B,4,U2]
                                  14         -3000               
   433 Sequencing[C,2,B,4,U3]
                                -986         -3000               
   434 Sequencing[C,2,B,4,U4]
                                  14         -3000               
   435 Sequencing[C,2,C,1,U1]
                                 -17         -3000               
   436 Sequencing[C,2,C,1,U2]
                               -1017         -3000               
   437 Sequencing[C,2,C,1,U3]
                               -1017         -3000               
   438 Sequencing[C,2,C,1,U4]
                                 -17         -3000               
   439 Sequencing[C,2,C,3,U1]
                                   0         -3000               
   440 Sequencing[C,2,C,3,U2]
                               -1000         -3000               
   441 Sequencing[C,2,C,3,U3]
                               -1000         -3000               
