Problem:    f3
                               -1022         -3000               
    92 Sequencing[A,1,C,3,U3]
                               -1015         -3000               
    93 Sequencing[A,1,C,3,U4]
                                 -15         -3000               
    94 Sequencing[A,1,D,1,U1]
                                 -27         -3000               
    95 Sequencing[A,1,D,1,U3]
                               -1027         -3000               
    96 Sequencing[A,1,D,2,U1]
                                 -18         -3000               
    97 Sequencing[A,1,D,2,U3]
                               -1018         -3000               
    98 Sequencing[A,1,D,2,U4]
                               -1018         -3000               
    99 Sequencing[A,1,D,3,U1]
                                -998         -3000               
   100 Sequencing[A,1,D,3,U3]
                               -2998         -3000               
   101 Sequencing[A,2,A,1,U1]
                                 -27         -3000               
   102 Sequencing[A,2,A,1,U4]
                               -1027         -3000               
   103 Sequencing[A,2,A,3,U1]
                               -1000         -3000               
   104 Sequencing[A,2,A,3,U4]
                               -3000         -3000               
   105 Sequencing[A,2,B,1,U2]
                                 -42         -3000               
   106 Sequencing[A,2,B,1,U4]
                               -1042         -3000               
   107 Sequencing[A,2,B,2,U1]
                               -1033         -3000               
   108 Sequencing[A,2,B,2,U2]
                                 -33         -3000               
   109 Sequencing[A,2,B,2,U4]
                               -1033         -3000               
   110 Sequencing[A,2,B,3,U1]
                               -1015         -3000               
   111 Sequencing[A,2,B,3,U4]
                               -1015         -3000               
   112 Sequencing[A,2,B,4,U1]
                               -1011         -3000               
   113 Sequencing[A,2,B,4,U2]
                                 -11         -3000               
   114 Sequencing[A,2,B,4,U4]
                               -1011         -3000               
   115 Sequencing[A,2,C,1,U1]
                                 -42         -3000               
   116 Sequencing[A,2,C,1,U2]
                               -1042         -3000               
   117 Sequencing[A,2,C,1,U4]
                               -1042         -3000               
   118 Sequencing[A,2,C,2,U2]
                               -1029         -3000               
   119 Sequencing[A,2,C,3,U2]
                               -1022         -3000               
   120 Sequencing[A,2,C,3,U4]
                               -1022         -3000               
   121 Sequencing[A,2,D,1,U1]
                                 -34         -3000               
   122 Sequencing[A,2,D,1,U2]
                               -1034         -3000               
   123 Sequencing[A,2,D,2,U1]
                                 -25         -3000               
   124 Sequencing[A,2,D,2,U4]
                               -2025         -3000               
   125 Sequencing[A,2,D,3,U1]
                                  -5         -3000               
   126 Sequencing[A,2,D,3,U2]
                                  -5         -3000               
   127 Sequencing[A,3,A,1,U1]
                                 -28         -3000               
   128 Sequencing[A,3,A,1,U3]
                               -1028         -3000               
   129 Sequencing[A,3,A,1,U4]
                               -1028         -3000               
   130 Sequencing[A,3,A,2,U1]
                                  -8         -3000               
   131 Sequencing[A,3,A,2,U4]
                               -2008         -3000               
   132 Sequencing[A,3,B,1,U3]
                               -1043         -3000               
   133 Sequencing[A,3,B,1,U4]
                               -1043         -3000               
   134 Sequencing[A,3,B,2,U1]
                               -1034         -3000               
   135 Sequencing[A,3,B,2,U4]
                               -1034         -3000               
   136 Sequencing[A,3,B,3,U1]
                               -1016         -3000               
   137 Sequencing[A,3,B,3,U3]
                                 -16         -3000               
   138 Sequencing[A,3,B,3,U4]
                               -1016         -3000               
   139 Sequencing[A,3,B,4,U1]
                               -1012         -3000               
   140 Sequencing[A,3,B,4,U4]
                               -1012         -3000               
   141 Sequencing[A,3,C,1,U1]
                               -1043         -3000               
   142 Sequencing[A,3,C,1,U4]
                               -2043         -3000               
   143 Sequencing[A,3,C,2,U3]
                                 -30         -3000               
   144 Sequencing[A,3,C,3,U3]
                                 -23         -3000               
   145 Sequencing[A,3,C,3,U4]
                               -1023         -3000               
   146 Sequencing[A,3,D,1,U1]
                                 -35         -3000               
   147 Sequencing[A,3,D,1,U3]
                                 -35         -3000               
   148 Sequencing[A,3,D,2,U1]
                                 -26         -3000               
   149 Sequencing[A,3,D,2,U3]
                                 -26         -3000               
   150 Sequencing[A,3,D,2,U4]
                               -2026         -3000               
   151 Sequencing[A,3,D,3,U1]
                                  -6         -3000               
   152 Sequencing[A,3,D,3,U3]
                               -1006         -3000               
   153 Sequencing[B,1,A,1,U3]
                               -2994         -3000               
   154 Sequencing[B,1,A,1,U4]
                                -994         -3000               
   155 Sequencing[B,1,A,2,U2]
                                  26         -3000               
   156 Sequencing[B,1,A,2,U4]
                                -974         -3000               
   157 Sequencing[B,1,A,3,U3]
                                -967         -3000               
   158 Sequencing[B,1,A,3,U4]
                                -967         -3000               
   159 Sequencing[B,1,B,2,U2]
                                   0         -3000               
   160 Sequencing[B,1,B,2,U4]
                                   0         -3000               
   161 Sequencing[B,1,B,3,U3]
                                -982         -3000               
   162 Sequencing[B,1,B,3,U4]
                                  18         -3000               
   163 Sequencing[B,1,B,4,U2]
                                  22         -3000               
   164 Sequencing[B,1,B,4,U4]
                                  22         -3000               
   165 Sequencing[B,1,C,1,U2]
                               -1009         -3000               
   166 Sequencing[B,1,C,1,U4]
                                  -9         -3000               
   167 Sequencing[B,1,C,2,U2]
                                -996         -3000               
   168 Sequencing[B,1,C,2,U3]
                                -996         -3000               
   169 Sequencing[B,1,C,3,U2]
                                -989         -3000               
   170 Sequencing[B,1,C,3,U3]
                                -989         -3000               
   171 Sequencing[B,1,C,3,U4]
                                  11         -3000               
   172 Sequencing[B,1,D,1,U2]
                               -1001         -3000               
   173 Sequencing[B,1,D,1,U3]
                               -1001         -3000               
   174 Sequencing[B,1,D,2,U3]
                                -992         -3000               
   175 Sequencing[B,1,D,2,U4]
                                -992         -3000               
   176 Sequencing[B,1,D,3,U2]
                                -972         -3000               
   177 Sequencing[B,1,D,3,U3]
                               -2972         -3000               
   178 Sequencing[B,2,A,1,U1]
                               -1012         -3000               
   179 Sequencing[B,2,A,1,U4]
                                 -12         -3000               
   180 Sequencing[B,2,A,2,U1]
                                -992         -3000               
   181 Sequencing[B,2,A,2,U2]
                                   8         -3000               
   182 Sequencing[B,2,A,2,U4]
                                -992         -3000               
   183 Sequencing[B,2,A,3,U1]
                                -985         -3000               
   184 Sequencing[B,2,A,3,U4]
                                -985         -3000               
   185 Sequencing[B,2,B,1,U2]
                                 -27         -3000               
   186 Sequencing[B,2,B,1,U4]
                                 -27         -3000               
   187 Sequencing[B,2,B,3,U1]
                               -3000         -3000               
   188 Sequencing[B,2,B,3,U4]
                               -1000         -3000               
   189 Sequencing[B,2,B,4,U1]
                               -2996         -3000               
   190 Sequencing[B,2,B,4,U2]
                                -996         -3000               
   191 Sequencing[B,2,B,4,U4]
                                -996         -3000               
   192 Sequencing[B,2,C,1,U1]
                               -1027         -3000               
   193 Sequencing[B,2,C,1,U2]
                               -1027         -3000               
   194 Sequencing[B,2,C,1,U4]
                                 -27         -3000               
   195 Sequencing[B,2,C,2,U2]
                               -1014         -3000               
   196 Sequencing[B,2,C,3,U2]
                               -1007         -3000               
   197 Sequencing[B,2,C,3,U4]
                                  -7         -3000               
   198 Sequencing[B,2,D,1,U1]
                               -1019         -3000               
   199 Sequencing[B,2,D,1,U2]
                               -1019         -3000               
   200 Sequencing[B,2,D,2,U1]
                               -1010         -3000               
   201 Sequencing[B,2,D,2,U4]
                               -1010         -3000               
   202 Sequencing[B,2,D,3,U1]
                                -990         -3000               
   203 Sequencing[B,2,D,3,U2]
                                  10         -3000               
   204 Sequencing[B,3,A,1,U1]
                               -1016         -3000               
   205 Sequencing[B,3,A,1,U3]
                               -1016         -3000               
   206 Sequencing[B,3,A,1,U4]
                                 -16         -3000               
   207 Sequencing[B,3,A,2,U1]
                                -996         -3000               
   208 Sequencing[B,3,A,2,U4]
                                -996         -3000               
   209 Sequencing[B,3,A,3,U1]
                                -989         -3000               
   210 Sequencing[B,3,A,3,U3]
                                  11         -3000               
   211 Sequencing[B,3,A,3,U4]
                                -989         -3000               
   212 Sequencing[B,3,B,1,U3]
                               -1031         -3000               
   213 Sequencing[B,3,B,1,U4]
                                 -31         -3000               
   214 Sequencing[B,3,B,2,U1]
                               -2022         -3000               
   215 Sequencing[B,3,B,2,U4]
                                 -22         -3000               
   216 Sequencing[B,3,B,4,U1]
                               -3000         -3000               
   217 Sequencing[B,3,B,4,U4]
                               -1000         -3000               
   218 Sequencing[B,3,C,1,U1]
                               -1031         -3000               
   219 Sequencing[B,3,C,1,U4]
                                 -31         -3000               
   220 Sequencing[B,3,C,2,U3]
                                 -18         -3000               
   221 Sequencing[B,3,C,3,U3]
                                 -11         -3000               
   222 Sequencing[B,3,C,3,U4]
                                 -11         -3000               
   223 Sequencing[B,3,D,1,U1]
                               -1023         -3000               
   224 Sequencing[B,3,D,1,U3]
                                 -23         -3000               
   225 Sequencing[B,3,D,2,U1]
                               -1014         -3000               
   226 Sequencing[B,3,D,2,U3]
                                 -14         -3000               
   227 Sequencing[B,3,D,2,U4]
                               -1014         -3000               
   228 Sequencing[B,3,D,3,U1]
                                -994         -3000               
   229 Sequencing[B,3,D,3,U3]
                                -994         -3000               
   230 Sequencing[B,4,A,1,U1]
                               -1028         -3000               
   231 Sequencing[B,4,A,1,U4]
                                 -28         -3000               
   232 Sequencing[B,4,A,2,U1]
                               -1008         -3000               
   233 Sequencing[B,4,A,2,U2]
                                  -8         -3000               
   234 Sequencing[B,4,A,2,U4]
                               -1008         -3000               
   235 Sequencing[B,4,A,3,U1]
                               -1001         -3000               
   236 Sequencing[B,4,A,3,U4]
                               -1001         -3000               
   237 Sequencing[B,4,B,1,U2]
                                 -43         -3000               
   238 Sequencing[B,4,B,1,U4]
                                 -43         -3000               
   239 Sequencing[B,4,B,2,U1]
                               -2034         -3000               
   240 Sequencing[B,4,B,2,U2]
                                 -34         -3000               
   241 Sequencing[B,4,B,2,U4]
                                 -34         -3000               
   242 Sequencing[B,4,B,3,U1]
                               -2016         -3000               
   243 Sequencing[B,4,B,3,U4]
                                 -16         -3000               
   244 Sequencing[B,4,C,1,U1]
                               -1043         -3000               
   245 Sequencing[B,4,C,1,U2]
                               -1043         -3000               
   246 Sequencing[B,4,C,1,U4]
                                 -43         -3000               
   247 Sequencing[B,4,C,2,U2]
                               -1030         -3000               
   248 Sequencing[B,4,C,3,U2]
                               -1023         -3000               
   249 Sequencing[B,4,C,3,U4]
                                 -23         -3000               
   250 Sequencing[B,4,D,1,U1]
                               -1035         -3000               
   251 Sequencing[B,4,D,1,U2]
                               -1035         -3000               
   252 Sequencing[B,4,D,2,U1]
                               -1026         -3000               
   253 Sequencing[B,4,D,2,U4]
                               -1026         -3000               
   254 Sequencing[B,4,D,3,U1]
                               -1006         -3000               
   255 Sequencing[B,4,D,3,U2]
                                  -6         -3000               
   256 Sequencing[C,1,A,1,U1]
                                   7         -3000               
   257 Sequencing[C,1,A,1,U4]
                                   7         -3000               
   258 Sequencing[C,1,A,2,U1]
                                  27         -3000               
   259 Sequencing[C,1,A,2,U2]
                                -973         -3000               
   260 Sequencing[C,1,A,2,U4]
                                -973         -3000               
   261 Sequencing[C,1,A,3,U1]
                                  34         -3000               
   262 Sequencing[C,1,A,3,U4]
                                -966         -3000               
   263 Sequencing[C,1,B,1,U2]
                               -1008         -3000               
   264 Sequencing[C,1,B,1,U4]
                                  -8         -3000               
   265 Sequencing[C,1,B,2,U1]
                                -999         -3000               
   266 Sequencing[C,1,B,2,U2]
                                -999         -3000               
   267 Sequencing[C,1,B,2,U4]
                                   1         -3000               
   268 Sequencing[C,1,B,3,U1]
                                -981         -3000               
   269 Sequencing[C,1,B,3,U4]
                                  19         -3000               
   270 Sequencing[C,1,B,4,U1]
                                -977         -3000               
   271 Sequencing[C,1,B,4,U2]
                                -977         -3000               
   272 Sequencing[C,1,B,4,U4]
                                  23         -3000               
   273 Sequencing[C,1,C,2,U2]
                               -2995         -3000               
   274 Sequencing[C,1,C,3,U2]
                               -2988         -3000               
   275 Sequencing[C,1,C,3,U4]
                                -988         -3000               
   276 Sequencing[C,1,D,1,U1]
                               -1000         -3000               
   277 Sequencing[C,1,D,1,U2]
                               -3000         -3000               
   278 Sequencing[C,1,D,2,U1]
                                   9         -3000               
   279 Sequencing[C,1,D,2,U4]
                                -991         -3000               
   280 Sequencing[C,1,D,3,U1]
                                  29         -3000               
   281 Sequencing[C,1,D,3,U2]
                                -971         -3000               
   282 Sequencing[C,2,A,1,U3]
                               -1005         -3000               
   283 Sequencing[C,2,A,2,U2]
                                -985         -3000               
   284 Sequencing[C,2,A,3,U3]
                                  22         -3000               
   285 Sequencing[C,2,B,1,U2]
                               -1020         -3000               
   286 Sequencing[C,2,B,1,U3]
                               -1020         -3000               
   287 Sequencing[C,2,B,2,U2]
                               -1011         -3000               
   288 Sequencing[C,2,B,3,U3]
                                   7         -3000               
   289 Sequencing[C,2,B,4,U2]
                                -989         -3000               
   290 Sequencing[C,2,C,1,U2]
                               -2020         -3000               
   291 Sequencing[C,2,C,3,U2]
                               -3000         -3000               
   292 Sequencing[C,2,C,3,U3]
                               -1000         -3000               
   293 Sequencing[C,2,D,1,U2]
                               -2012         -3000               
   294 Sequencing[C,2,D,1,U3]
                                 -12         -3000               
   295 Sequencing[C,2,D,2,U3]
                                  -3         -3000               
   296 Sequencing[C,2,D,3,U2]
                                -983         -3000               
   297 Sequencing[C,2,D,3,U3]
                                -983         -3000               
   298 Sequencing[C,3,A,1,U3]
                               -1028         -3000               
   299 Sequencing[C,3,A,1,U4]
                                 -28         -3000               
   300 Sequencing[C,3,A,2,U2]
                               -1008         -3000               
   301 Sequencing[C,3,A,2,U4]
                               -1008         -3000               
   302 Sequencing[C,3,A,3,U3]
                                  -1         -3000               
   303 Sequencing[C,3,A,3,U4]
                               -1001         -3000               
   304 Sequencing[C,3,B,1,U2]
                               -1043         -3000               
   305 Sequencing[C,3,B,1,U3]
                               -1043         -3000               
   306 Sequencing[C,3,B,1,U4]
                                 -43         -3000               
   307 Sequencing[C,3,B,2,U2]
                               -1034         -3000               
   308 Sequencing[C,3,B,2,U4]
                                 -34         -3000               
   309 Sequencing[C,3,B,3,U3]
                                 -16         -3000               
   310 Sequencing[C,3,B,3,U4]
                                 -16         -3000               
   311 Sequencing[C,3,B,4,U2]
                               -1012         -3000               
   312 Sequencing[C,3,B,4,U4]
                                 -12         -3000               
   313 Sequencing[C,3,C,1,U2]
                               -2043         -3000               
   314 Sequencing[C,3,C,1,U4]
                                 -43         -3000               
   315 Sequencing[C,3,C,2,U2]
                               -2030         -3000               
   316 Sequencing[C,3,C,2,U3]
                                 -30         -3000               
   317 Sequencing[C,3,D,1,U2]
                               -2035         -3000               
   318 Sequencing[C,3,D,1,U3]
                                 -35         -3000               
   319 Sequencing[C,3,D,2,U3]
                                 -26         -3000               
   320 Sequencing[C,3,D,2,U4]
                               -1026         -3000               
   321 Sequencing[C,3,D,3,U2]
                               -1006         -3000               
   322 Sequencing[C,3,D,3,U3]
                               -1006         -3000               
   323 Sequencing[D,1,A,1,U1]
                                   2         -3000               
   324 Sequencing[D,1,A,1,U3]
                                -998         -3000               
   325 Sequencing[D,1,A,2,U1]
                                  22         -3000               
   326 Sequencing[D,1,A,2,U2]
                                -978         -3000               
   327 Sequencing[D,1,A,3,U1]
                                  29         -3000               
   328 Sequencing[D,1,A,3,U3]
                                  29         -3000               
   329 Sequencing[D,1,B,1,U2]
                               -1013         -3000               
   330 Sequencing[D,1,B,1,U3]
                               -1013         -3000               
   331 Sequencing[D,1,B,2,U1]
                               -1004         -3000               
   332 Sequencing[D,1,B,2,U2]
                               -1004         -3000               
   333 Sequencing[D,1,B,3,U1]
                                -986         -3000               
   334 Sequencing[D,1,B,3,U3]
                                  14         -3000               
   335 Sequencing[D,1,B,4,U1]
                                -982         -3000               
   336 Sequencing[D,1,B,4,U2]
                                -982         -3000               
   337 Sequencing[D,1,C,1,U1]
                                 -13         -3000               
   338 Sequencing[D,1,C,1,U2]
                               -2013         -3000               
   339 Sequencing[D,1,C,2,U2]
                               -3000         -3000               
   340 Sequencing[D,1,C,2,U3]
                               -1000         -3000               
   341 Sequencing[D,1,C,3,U2]
                               -2993         -3000               
   342 Sequencing[D,1,C,3,U3]
                                -993         -3000               
   343 Sequencing[D,1,D,2,U1]
                                   4         -3000               
   344 Sequencing[D,1,D,2,U3]
                                   4         -3000               
   345 Sequencing[D,1,D,3,U1]
                                  24         -3000               
   346 Sequencing[D,1,D,3,U2]
                                -976         -3000               
   347 Sequencing[D,1,D,3,U3]
                                -976         -3000               
   348 Sequencing[D,2,A,1,U1]
                                 -20         -3000               
   349 Sequencing[D,2,A,1,U3]
                               -1020         -3000               
   350 Sequencing[D,2,A,1,U4]
                               -1020         -3000               
   351 Sequencing[D,2,A,2,U1]
                               -1000         -3000               
   352 Sequencing[D,2,A,2,U4]
                               -3000         -3000               
   353 Sequencing[D,2,A,3,U1]
                                -993         -3000               
   354 Sequencing[D,2,A,3,U3]
                                -993         -3000               
   355 Sequencing[D,2,A,3,U4]
                               -2993         -3000               
   356 Sequencing[D,2,B,1,U3]
                               -1035         -3000               
   357 Sequencing[D,2,B,1,U4]
                               -1035         -3000               
   358 Sequencing[D,2,B,2,U1]
                               -1026         -3000               
   359 Sequencing[D,2,B,2,U4]
                               -1026         -3000               
   360 Sequencing[D,2,B,3,U1]
                               -1008         -3000               
   361 Sequencing[D,2,B,3,U3]
                                  -8         -3000               
   362 Sequencing[D,2,B,3,U4]
                               -1008         -3000               
   363 Sequencing[D,2,B,4,U1]
                               -1004         -3000               
   364 Sequencing[D,2,B,4,U4]
                               -1004         -3000               
   365 Sequencing[D,2,C,1,U1]
                                 -35         -3000               
   366 Sequencing[D,2,C,1,U4]
                               -1035         -3000               
   367 Sequencing[D,2,C,2,U3]
                                 -22         -3000               
   368 Sequencing[D,2,C,3,U3]
                                 -15         -3000               
   369 Sequencing[D,2,C,3,U4]
                               -1015         -3000               
   370 Sequencing[D,2,D,1,U1]
                                 -27         -3000               
   371 Sequencing[D,2,D,1,U3]
                                 -27         -3000               
   372 Sequencing[D,2,D,3,U1]
                                   2         -3000               
   373 Sequencing[D,2,D,3,U3]
                                -998         -3000               
   374 Sequencing[D,3,A,1,U1]
                                 -28         -3000               
   375 Sequencing[D,3,A,1,U3]
                               -2028         -3000               
   376 Sequencing[D,3,A,2,U1]
                                  -8         -3000               
   377 Sequencing[D,3,A,2,U2]
                                  -8         -3000               
   378 Sequencing[D,3,A,3,U1]
                                  -1         -3000               
   379 Sequencing[D,3,A,3,U3]
                               -1001         -3000               
   380 Sequencing[D,3,B,1,U2]
                                 -43         -3000               
   381 Sequencing[D,3,B,1,U3]
                               -2043         -3000               
   382 Sequencing[D,3,B,2,U1]
                               -1034         -3000               
   383 Sequencing[D,3,B,2,U2]
                                 -34         -3000               
   384 Sequencing[D,3,B,3,U1]
                               -1016         -3000               
   385 Sequencing[D,3,B,3,U3]
                               -1016         -3000               
   386 Sequencing[D,3,B,4,U1]
                               -1012         -3000               
   387 Sequencing[D,3,B,4,U2]
                                 -12         -3000               
   388 Sequencing[D,3,C,1,U1]
                                 -43         -3000               
   389 Sequencing[D,3,C,1,U2]
                               -1043         -3000               
   390 Sequencing[D,3,C,2,U2]
                               -1030         -3000               
   391 Sequencing[D,3,C,2,U3]
                               -1030         -3000               
   392 Sequencing[D,3,C,3,U2]
                               -1023         -3000               
   393 Sequencing[D,3,C,3,U3]
                               -1023         -3000               
   394 Sequencing[D,3,D,1,U1]
                                 -35         -3000               
   395 Sequencing[D,3,D,1,U2]
                               -1035         -3000               
   396 Sequencing[D,3,D,1,U3]
                               -1035         -3000               
   397 Sequencing[D,3,D,2,U1]
                                 -26         -3000               
   398 Sequencing[D,3,D,2,U3]
                               -1026         -3000               
   399 Orderaround[A,1,A,2,U1]
                                   0            -1               
   400 Orderaround[A,1,A,2,U4]
                                  -1            -1               
   401 Orderaround[A,1,A,3,U1]
                                   0            -1               
   402 Orderaround[A,1,A,3,U3]
                                  -1            -1               
   403 Orderaround[A,1,A,3,U4]
                                  -1            -1               
   404 Orderaround[A,1,B,1,U3]
                                  -1            -1               
   405 Orderaround[A,1,B,1,U4]
                                   1            -1               
   406 Orderaround[A,1,B,2,U1]
                                  -1            -1               
   407 Orderaround[A,1,B,2,U4]
                                   0            -1               
   408 Orderaround[A,1,B,3,U1]
                                  -1            -1               
   409 Orderaround[A,1,B,3,U3]
                                  -1            -1               
   410 Orderaround[A,1,B,3,U4]
                                   0            -1               
   411 Orderaround[A,1,B,4,U1]
                                  -1            -1               
   412 Orderaround[A,1,B,4,U4]
                                   0            -1               
   413 Orderaround[A,1,C,1,U1]
                                   0            -1               
   414 Orderaround[A,1,C,1,U4]
                                   0            -1               
   415 Orderaround[A,1,C,2,U3]
                                  -1            -1               
   416 Orderaround[A,1,C,3,U3]
                                  -1            -1               
   417 Orderaround[A,1,C,3,U4]
                                   0            -1               
   418 Orderaround[A,1,D,1,U1]
                                   0            -1               
   419 Orderaround[A,1,D,1,U3]
                                  -1            -1               
   420 Orderaround[A,1,D,2,U1]
                                   0            -1               
   421 Orderaround[A,1,D,2,U3]
                                  -1            -1               
   422 Orderaround[A,1,D,2,U4]
                                  -1            -1               
   423 Orderaround[A,1,D,3,U1]
                                   1            -1               
   424 Orderaround[A,1,D,3,U3]
                                  -1            -1               
   425 Orderaround[A,2,A,1,U1]
                                   0            -1               
   426 Orderaround[A,2,A,1,U4]
                                  -1            -1               
   427 Orderaround[A,2,A,3,U1]
                                   1            -1               
   428 Orderaround[A,2,A,3,U4]
                                  -1            -1               
   429 Orderaround[A,2,B,1,U2]
                                   0            -1               
   430 Orderaround[A,2,B,1,U4]
                                  -1            -1               
   431 Orderaround[A,2,B,2,U1]
                                  -1            -1               
   432 Orderaround[A,2,B,2,U2]
                                   0            -1               
   433 Orderaround[A,2,B,2,U4]
                                  -1            -1               
   434 Orderaround[A,2,B,3,U1]
                                  -1            -1               
   435 Orderaround[A,2,B,3,U4]
                                  -1            -1               
   436 Orderaround[A,2,B,4,U1]
                                  -1            -1               
   437 Orderaround[A,2,B,4,U2]
                                   0            -1               
   438 Orderaround[A,2,B,4,U4]
                                  -1            -1               
   439 Orderaround[A,2,C,1,U1]
                                   0            -1               
   440 Orderaround[A,2,C,1,U2]
                                  -1            -1               
   441 Orderaround[A,2,C,1,U4]
                                  -1            -1               
   442 Orderaround[A,2,C,2,U2]
                                  -1            -1               
   443 Orderaround[A,2,C,3,U2]
                                  -1            -1               
   444 Orderaround[A,2,C,3,U4]
                                  -1            -1               
   445 Orderaround[A,2,D,1,U1]
                                   0            -1               
   446 Orderaround[A,2,D,1,U2]
                                  -1            -1               
   447 Orderaround[A,2,D,2,U1]
                                   1            -1               
   448 Orderaround[A,2,D,2,U4]
                                  -1            -1               
   449 Orderaround[A,2,D,3,U1]
                                   0            -1               
   450 Orderaround[A,2,D,3,U2]
                                   0            -1               
   451 Orderaround[A,3,A,1,U1]
                                   0            -1               
   452 Orderaround[A,3,A,1,U3]
                                  -1            -1               
